,quality,color
0,5,red
1,5,red
2,5,red
3,6,red
4,5,red
5,5,red
6,5,red
7,7,red
8,7,red
9,5,red
10,5,red
11,5,red
12,5,red
13,5,red
14,5,red
15,5,red
16,7,red
17,5,red
18,4,red
19,6,red
20,6,red
21,5,red
22,5,red
23,5,red
24,6,red
25,5,red
26,5,red
27,5,red
28,5,red
29,6,red
30,5,red
31,6,red
32,5,red
33,6,red
34,5,red
35,6,red
36,6,red
37,7,red
38,4,red
39,5,red
40,5,red
41,4,red
42,6,red
43,5,red
44,5,red
45,4,red
46,5,red
47,5,red
48,5,red
49,5,red
50,5,red
51,6,red
52,6,red
53,5,red
54,6,red
55,5,red
56,5,red
57,5,red
58,5,red
59,6,red
60,5,red
61,5,red
62,7,red
63,5,red
64,5,red
65,5,red
66,5,red
67,5,red
68,5,red
69,6,red
70,6,red
71,5,red
72,5,red
73,4,red
74,5,red
75,5,red
76,5,red
77,6,red
78,5,red
79,4,red
80,5,red
81,5,red
82,5,red
83,5,red
84,6,red
85,5,red
86,6,red
87,5,red
88,5,red
89,5,red
90,5,red
91,6,red
92,5,red
93,5,red
94,4,red
95,6,red
96,5,red
97,5,red
98,5,red
99,6,red
100,6,red
101,6,red
102,6,red
103,5,red
104,5,red
105,5,red
106,5,red
107,5,red
108,6,red
109,5,red
110,5,red
111,5,red
112,5,red
113,6,red
114,5,red
115,6,red
116,6,red
117,6,red
118,6,red
119,6,red
120,5,red
121,6,red
122,5,red
123,5,red
124,5,red
125,5,red
126,5,red
127,5,red
128,7,red
129,5,red
130,5,red
131,5,red
132,5,red
133,6,red
134,6,red
135,5,red
136,5,red
137,5,red
138,5,red
139,5,red
140,5,red
141,5,red
142,6,red
143,5,red
144,6,red
145,5,red
146,5,red
147,5,red
148,6,red
149,6,red
150,6,red
151,4,red
152,5,red
153,5,red
154,5,red
155,5,red
156,5,red
157,5,red
158,5,red
159,6,red
160,5,red
161,4,red
162,6,red
163,5,red
164,5,red
165,5,red
166,5,red
167,4,red
168,6,red
169,5,red
170,4,red
171,6,red
172,6,red
173,6,red
174,5,red
175,5,red
176,5,red
177,6,red
178,5,red
179,5,red
180,5,red
181,5,red
182,5,red
183,5,red
184,6,red
185,5,red
186,5,red
187,5,red
188,5,red
189,5,red
190,5,red
191,6,red
192,5,red
193,5,red
194,5,red
195,5,red
196,5,red
197,6,red
198,7,red
199,4,red
200,7,red
201,5,red
